date,iso,country,coronavirus,covid,dry cough,fever,shortness of breath,face mask
2020-02-07,GB,United Kingdom,6,0,12,22,20,16
2020-02-08,GB,United Kingdom,7,0,8,25,12,17
2020-02-09,GB,United Kingdom,6,0,8,23,13,16
2020-02-10,GB,United Kingdom,9,0,9,23,15,20
2020-02-11,GB,United Kingdom,8,0,9,25,13,16
2020-02-12,GB,United Kingdom,8,1,9,23,15,15
2020-02-13,GB,United Kingdom,8,1,10,26,9,12
2020-02-14,GB,United Kingdom,6,1,8,21,9,14
2020-02-15,GB,United Kingdom,4,1,9,19,6,12
2020-02-16,GB,United Kingdom,3,1,8,23,15,11
2020-02-17,GB,United Kingdom,4,1,10,27,28,11
2020-02-18,GB,United Kingdom,3,1,8,24,6,8
2020-02-19,GB,United Kingdom,3,1,8,25,19,9
2020-02-20,GB,United Kingdom,3,0,8,21,8,9
2020-02-21,GB,United Kingdom,3,1,7,22,7,9
2020-02-22,GB,United Kingdom,4,1,7,24,11,10
2020-02-23,GB,United Kingdom,6,2,6,22,15,14
2020-02-24,GB,United Kingdom,9,2,9,24,21,23
2020-02-25,GB,United Kingdom,16,3,9,26,13,34
2020-02-26,GB,United Kingdom,21,4,8,25,40,40
2020-02-27,GB,United Kingdom,18,4,11,24,25,32
2020-02-28,GB,United Kingdom,21,5,16,22,17,32
2020-02-29,GB,United Kingdom,15,3,9,26,18,29
2020-03-01,GB,United Kingdom,19,5,14,27,24,33
2020-03-02,GB,United Kingdom,26,7,22,29,31,33
2020-03-03,GB,United Kingdom,27,7,13,32,23,27
2020-03-04,GB,United Kingdom,32,9,17,29,33,29
2020-03-05,GB,United Kingdom,35,11,17,28,17,24
2020-03-06,GB,United Kingdom,31,10,17,28,26,22
2020-03-07,GB,United Kingdom,26,9,19,30,38,20
2020-03-08,GB,United Kingdom,33,12,22,32,22,20
2020-03-09,GB,United Kingdom,43,17,24,42,42,20
2020-03-10,GB,United Kingdom,50,20,30,43,37,22
2020-03-11,GB,United Kingdom,60,27,35,50,37,25
2020-03-12,GB,United Kingdom,91,41,57,64,68,27
2020-03-13,GB,United Kingdom,82,44,70,76,74,32
2020-03-14,GB,United Kingdom,81,46,68,81,77,35
2020-03-15,GB,United Kingdom,85,57,66,82,81,40
2020-03-16,GB,United Kingdom,100,76,88,100,98,35
2020-03-17,GB,United Kingdom,94,80,100,98,100,42
2020-03-18,GB,United Kingdom,86,76,88,80,82,38
2020-03-19,GB,United Kingdom,75,73,67,60,73,37
2020-03-20,GB,United Kingdom,73,76,60,52,63,33
2020-03-21,GB,United Kingdom,71,77,61,61,63,47
2020-03-22,GB,United Kingdom,79,93,65,63,79,53
2020-03-23,GB,United Kingdom,78,99,60,54,68,47
2020-03-24,GB,United Kingdom,66,94,55,60,80,47
2020-03-25,GB,United Kingdom,72,100,48,67,62,43
2020-03-26,GB,United Kingdom,62,89,36,60,47,44
2020-03-27,GB,United Kingdom,62,89,52,58,73,41
2020-03-28,GB,United Kingdom,59,85,43,63,60,45
2020-03-29,GB,United Kingdom,59,82,38,49,53,46
2020-03-30,GB,United Kingdom,51,78,26,43,51,43
2020-03-31,GB,United Kingdom,47,74,25,40,40,40
2020-04-01,GB,United Kingdom,47,79,25,46,48,48
2020-04-02,GB,United Kingdom,46,75,28,32,49,100
2020-04-03,GB,United Kingdom,42,76,22,40,37,75
2020-04-04,GB,United Kingdom,56,72,21,45,36,70
2020-04-05,GB,United Kingdom,61,73,18,50,55,56
2020-01-01,TR,Turkey,0,0,15,43,10,6
2020-01-02,TR,Turkey,0,0,17,39,21,5
2020-01-03,TR,Turkey,0,0,28,51,15,7
2020-01-04,TR,Turkey,0,0,19,49,10,4
2020-01-05,TR,Turkey,0,0,26,51,8,1
2020-01-06,TR,Turkey,0,0,6,44,9,4
2020-01-07,TR,Turkey,0,0,23,42,0,7
2020-01-08,TR,Turkey,0,0,26,43,14,6
2020-01-09,TR,Turkey,0,0,13,50,5,5
2020-01-10,TR,Turkey,0,0,17,49,17,5
2020-01-11,TR,Turkey,0,0,15,54,5,5
2020-01-12,TR,Turkey,0,0,23,60,19,7
2020-01-13,TR,Turkey,0,0,31,55,7,2
2020-01-14,TR,Turkey,0,0,19,50,11,3
2020-01-15,TR,Turkey,0,0,27,48,24,8
2020-01-16,TR,Turkey,0,0,21,50,17,5
2020-01-17,TR,Turkey,0,0,29,54,8,5
2020-01-18,TR,Turkey,0,0,42,59,5,4
2020-01-19,TR,Turkey,0,0,19,56,13,7
2020-01-20,TR,Turkey,0,0,14,44,12,4
2020-01-21,TR,Turkey,2,0,34,52,5,3
2020-01-22,TR,Turkey,4,0,20,59,2,11
2020-01-23,TR,Turkey,4,0,37,62,12,7
2020-01-24,TR,Turkey,6,0,26,47,16,5
2020-01-25,TR,Turkey,6,0,37,54,5,6
2020-01-26,TR,Turkey,6,0,34,50,16,5
2020-01-27,TR,Turkey,10,0,20,50,5,4
2020-01-28,TR,Turkey,10,0,33,54,14,15
2020-01-29,TR,Turkey,13,0,24,56,14,6
2020-01-30,TR,Turkey,10,0,17,44,17,16
2020-01-31,TR,Turkey,12,0,27,44,17,12
2020-02-01,TR,Turkey,9,0,25,49,23,9
2020-02-02,TR,Turkey,14,0,27,45,38,13
2020-02-03,TR,Turkey,14,0,31,39,18,6
2020-02-04,TR,Turkey,8,0,10,39,7,9
2020-02-05,TR,Turkey,7,0,19,36,7,6
2020-02-06,TR,Turkey,9,0,7,37,23,4
2020-02-07,TR,Turkey,10,0,13,40,11,7
2020-02-08,TR,Turkey,5,0,14,37,10,10
2020-02-09,TR,Turkey,2,0,11,39,15,8
2020-02-10,TR,Turkey,6,0,10,34,7,8
2020-02-11,TR,Turkey,5,0,10,41,20,6
2020-02-12,TR,Turkey,4,1,10,41,20,5
2020-02-13,TR,Turkey,7,1,10,41,14,5
2020-02-14,TR,Turkey,1,1,20,41,14,5
2020-02-15,TR,Turkey,4,1,17,44,12,19
2020-02-16,TR,Turkey,1,0,22,41,18,7
2020-02-17,TR,Turkey,5,0,7,48,21,6
2020-02-18,TR,Turkey,4,0,20,45,12,4
2020-02-19,TR,Turkey,5,1,7,43,12,6
2020-02-20,TR,Turkey,7,0,16,41,11,4
2020-02-21,TR,Turkey,9,1,26,46,9,6
2020-02-22,TR,Turkey,19,1,7,41,5,11
2020-02-23,TR,Turkey,19,1,27,42,21,15
2020-02-24,TR,Turkey,27,2,16,42,7,16
2020-02-25,TR,Turkey,36,4,23,42,9,13
2020-02-26,TR,Turkey,44,3,23,43,11,40
2020-02-27,TR,Turkey,28,2,9,41,15,35
2020-02-28,TR,Turkey,16,1,20,38,16,5
2020-02-29,TR,Turkey,15,2,20,43,5,13
2020-03-01,TR,Turkey,11,2,18,46,18,11
2020-03-02,TR,Turkey,16,1,19,31,11,8
2020-03-03,TR,Turkey,9,2,13,40,16,7
2020-03-04,TR,Turkey,11,2,23,40,14,9
2020-03-05,TR,Turkey,22,2,16,40,11,10
2020-03-06,TR,Turkey,17,3,17,40,21,9
2020-03-07,TR,Turkey,14,2,11,52,13,9
2020-03-08,TR,Turkey,8,2,33,42,13,8
2020-03-09,TR,Turkey,18,4,29,46,16,6
2020-03-10,TR,Turkey,38,9,35,45,2,19
2020-03-11,TR,Turkey,100,15,54,57,31,42
2020-03-12,TR,Turkey,45,11,44,53,20,22
2020-03-13,TR,Turkey,65,15,54,58,31,18
2020-03-14,TR,Turkey,44,13,17,57,36,9
2020-03-15,TR,Turkey,42,14,35,60,39,14
2020-03-16,TR,Turkey,74,28,69,98,42,18
2020-03-17,TR,Turkey,60,27,100,84,81,24
2020-03-18,TR,Turkey,75,29,86,87,43,19
2020-03-19,TR,Turkey,63,37,42,90,62,18
2020-03-20,TR,Turkey,75,38,73,98,68,13
2020-03-21,TR,Turkey,71,41,82,91,52,21
2020-03-22,TR,Turkey,58,40,51,83,100,25
2020-03-23,TR,Turkey,56,34,63,90,85,20
2020-03-24,TR,Turkey,49,34,45,84,67,21
2020-03-25,TR,Turkey,49,39,49,86,73,28
2020-03-26,TR,Turkey,45,44,66,90,52,43
2020-03-27,TR,Turkey,41,75,66,89,85,30
2020-03-28,TR,Turkey,44,100,75,96,91,40
2020-03-29,TR,Turkey,37,76,41,100,92,32
2020-03-30,TR,Turkey,36,59,39,94,56,29
2020-03-31,TR,Turkey,36,66,30,83,55,35
2020-04-01,TR,Turkey,34,82,20,79,53,27
2020-04-02,TR,Turkey,29,62,50,97,66,32
2020-04-03,TR,Turkey,33,65,21,87,62,55
2020-04-04,TR,Turkey,33,64,20,91,69,100
2020-04-05,TR,Turkey,21,51,39,76,55,38
2020-01-01,CH,Switzerland,0,0,0,43,0,0
2020-01-02,CH,Switzerland,0,0,0,37,0,0
2020-01-03,CH,Switzerland,0,0,26,32,0,0
2020-01-04,CH,Switzerland,0,0,0,26,0,0
2020-01-05,CH,Switzerland,0,0,0,26,0,0
2020-01-06,CH,Switzerland,0,0,0,35,0,0
2020-01-07,CH,Switzerland,0,0,0,28,0,0
2020-01-08,CH,Switzerland,0,0,0,49,54,0
2020-01-09,CH,Switzerland,0,0,0,32,55,0
2020-01-10,CH,Switzerland,0,0,0,36,0,0
2020-01-11,CH,Switzerland,0,0,0,17,0,0
2020-01-12,CH,Switzerland,0,0,0,38,0,0
2020-01-13,CH,Switzerland,0,0,0,31,48,24
2020-01-14,CH,Switzerland,0,0,0,22,49,0
2020-01-15,CH,Switzerland,0,0,0,31,0,13
2020-01-16,CH,Switzerland,0,0,0,25,0,0
2020-01-17,CH,Switzerland,0,0,0,29,0,0
2020-01-18,CH,Switzerland,0,0,0,30,0,17
2020-01-19,CH,Switzerland,0,0,0,53,0,0
2020-01-20,CH,Switzerland,0,0,22,34,52,0
2020-01-21,CH,Switzerland,1,0,0,28,0,27
2020-01-22,CH,Switzerland,2,0,0,45,0,13
2020-01-23,CH,Switzerland,2,0,0,60,0,0
2020-01-24,CH,Switzerland,5,0,0,33,56,56
2020-01-25,CH,Switzerland,9,0,28,43,0,17
2020-01-26,CH,Switzerland,12,0,0,45,0,0
2020-01-27,CH,Switzerland,12,0,0,50,0,0
2020-01-28,CH,Switzerland,11,0,44,51,0,39
2020-01-29,CH,Switzerland,9,0,0,61,0,0
2020-01-30,CH,Switzerland,9,0,0,46,0,0
2020-01-31,CH,Switzerland,9,0,24,44,0,14
2020-02-01,CH,Switzerland,9,0,0,30,0,0
2020-02-02,CH,Switzerland,6,0,25,39,0,15
2020-02-03,CH,Switzerland,5,0,0,51,0,0
2020-02-04,CH,Switzerland,4,0,0,54,52,13
2020-02-05,CH,Switzerland,5,0,0,32,0,0
2020-02-06,CH,Switzerland,4,0,0,48,0,14
2020-02-07,CH,Switzerland,4,0,0,34,0,0
2020-02-08,CH,Switzerland,5,0,0,22,0,17
2020-02-09,CH,Switzerland,5,0,55,46,0,16
2020-02-10,CH,Switzerland,5,0,0,42,0,0
2020-02-11,CH,Switzerland,4,0,22,27,0,13
2020-02-12,CH,Switzerland,4,0,22,65,0,0
2020-02-13,CH,Switzerland,5,1,0,35,0,14
2020-02-14,CH,Switzerland,4,0,0,18,0,0
2020-02-15,CH,Switzerland,4,1,0,27,0,0
2020-02-16,CH,Switzerland,3,2,0,38,0,0
2020-02-17,CH,Switzerland,3,3,0,27,0,0
2020-02-18,CH,Switzerland,3,1,0,24,0,0
2020-02-19,CH,Switzerland,3,2,0,20,0,0
2020-02-20,CH,Switzerland,2,2,0,47,0,14
2020-02-21,CH,Switzerland,5,1,24,30,0,0
2020-02-22,CH,Switzerland,9,1,0,41,0,18
2020-02-23,CH,Switzerland,23,4,27,33,0,32
2020-02-24,CH,Switzerland,26,8,0,20,0,39
2020-02-25,CH,Switzerland,36,8,43,43,0,25
2020-02-26,CH,Switzerland,34,6,21,35,0,12
2020-02-27,CH,Switzerland,45,14,0,26,0,25
2020-02-28,CH,Switzerland,55,14,22,66,0,0
2020-02-29,CH,Switzerland,44,18,0,74,0,63
2020-03-01,CH,Switzerland,41,17,26,73,0,47
2020-03-02,CH,Switzerland,39,14,21,85,0,0
2020-03-03,CH,Switzerland,34,14,21,86,0,26
2020-03-04,CH,Switzerland,39,15,43,64,0,0
2020-03-05,CH,Switzerland,42,15,21,46,0,13
2020-03-06,CH,Switzerland,42,16,23,52,0,27
2020-03-07,CH,Switzerland,38,15,0,36,62,16
2020-03-08,CH,Switzerland,45,22,52,64,62,15
2020-03-09,CH,Switzerland,45,26,62,60,0,12
2020-03-10,CH,Switzerland,50,31,20,67,0,24
2020-03-11,CH,Switzerland,57,35,21,56,0,25
2020-03-12,CH,Switzerland,75,49,42,82,0,13
2020-03-13,CH,Switzerland,100,72,60,34,0,0
2020-03-14,CH,Switzerland,79,74,51,51,0,45
2020-03-15,CH,Switzerland,88,80,76,78,0,45
2020-03-16,CH,Switzerland,90,85,0,72,46,12
2020-03-17,CH,Switzerland,65,82,62,100,49,0
2020-03-18,CH,Switzerland,65,66,65,60,51,26
2020-03-19,CH,Switzerland,61,80,67,93,53,13
2020-03-20,CH,Switzerland,60,84,21,75,100,13
2020-03-21,CH,Switzerland,56,89,100,74,59,30
2020-03-22,CH,Switzerland,60,85,0,47,0,0
2020-03-23,CH,Switzerland,51,100,39,51,46,0
2020-03-24,CH,Switzerland,44,80,40,69,48,24
2020-03-25,CH,Switzerland,43,76,21,51,0,12
2020-03-26,CH,Switzerland,39,92,21,38,0,12
2020-03-27,CH,Switzerland,42,84,41,26,0,12
2020-03-28,CH,Switzerland,42,81,0,51,0,15
2020-03-29,CH,Switzerland,35,81,47,47,0,28
2020-03-30,CH,Switzerland,32,77,19,48,0,35
2020-03-31,CH,Switzerland,31,67,20,44,0,48
2020-04-01,CH,Switzerland,30,76,21,23,50,100
2020-04-02,CH,Switzerland,30,72,0,29,50,12
2020-04-03,CH,Switzerland,47,72,0,27,0,39
2020-04-04,CH,Switzerland,52,83,0,12,0,62
2020-04-05,CH,Switzerland,51,63,0,44,0,31
