,date,state,positive,death,total,temp,stp,wdsp,prcp,fog,coronavirus,covid,dry cough,fever,shortness of breath,face mask,Chinawords,Italywords,USwords,Outbreakwords,twitter_number
1952,2020-01-22,WA,1.0,0.0,1,32.1,874.8,2.3,0.42,1,9,0,25,17,19,1,199,0,57,45,28520
1951,2020-01-23,WA,1.0,0.0,1,32.6,878.0,2.7,0.52,1,6,0,12,33,36,1,1436,3,107,524,186460
1950,2020-01-24,WA,1.0,0.0,1,35.4,874.9,2.2,1.13,1,8,0,0,36,19,2,3207,0,487,1054,660769
1949,2020-01-25,WA,1.0,0.0,1,34.3,876.5,1.5,0.14,1,10,0,14,53,21,3,3558,2,448,1320,998717
1948,2020-01-26,WA,1.0,0.0,1,33.8,875.6,2.7,0.55,1,12,0,13,35,58,6,3802,1,708,1142,1356180
1947,2020-01-27,WA,1.0,0.0,1,32.6,879.3,2.8,0.3,1,14,0,12,32,0,2,3383,9,644,1095,989434
1946,2020-01-28,WA,1.0,0.0,1,31.5,875.6,2.0,1.07,1,15,0,12,16,18,6,4063,5,644,1202,875551
1945,2020-01-29,WA,1.0,0.0,1,33.7,881.4,1.5,0.11,1,13,0,12,33,18,3,6755,9,1028,1286,1909260
1944,2020-01-30,WA,1.0,0.0,1,31.9,883.7,2.6,0.13,1,15,0,24,38,0,4,7147,177,1299,1603,2358087
1943,2020-01-31,WA,1.0,0.0,1,40.9,880.3,5.9,0.07,1,15,0,12,44,37,5,6977,127,1356,1316,2145603
1942,2020-02-01,WA,1.0,0.0,1,41.8,875.9,8.8,0.06,1,12,0,13,44,20,4,2732,33,479,489,940959
1941,2020-02-02,WA,1.0,0.0,1,25.5,880.1,4.2,0.15,1,9,0,13,30,20,4,3018,13,431,466,1058172
1940,2020-02-03,WA,1.0,0.0,1,23.9,880.4,3.7,0.03,1,9,0,11,29,34,4,3113,12,533,633,1045023
1939,2020-02-04,WA,1.0,0.0,1,21.8,885.6,3.2,0.03,1,9,0,0,22,36,3,3414,8,575,669,1168053
1938,2020-02-05,WA,1.0,0.0,1,33.4,878.5,5.7,0.19,1,7,0,12,37,0,3,3010,7,555,575,1062568
1937,2020-02-06,WA,1.0,0.0,1,36.0,877.1,7.5,0.12,1,8,0,12,27,36,4,3739,11,573,714,1136920
1936,2020-02-07,WA,2.0,0.0,2,37.6,876.1,6.9,0.07,1,9,0,12,21,18,2,3129,17,525,573,1032614
1935,2020-02-08,WA,2.0,0.0,2,31.4,871.7,6.6,0.08,1,8,0,13,39,0,3,2937,8,436,455,969686
1934,2020-02-09,WA,2.0,0.0,2,29.1,886.9,4.8,0.25,1,8,0,14,29,42,5,3075,6,457,461,1000828
1933,2020-02-10,WA,2.0,0.0,2,30.0,887.8,3.4,0.0,1,7,0,12,27,36,3,3264,11,597,574,1076780
1932,2020-02-11,WA,2.0,0.0,2,32.5,885.2,6.6,0.0,1,7,0,18,27,18,2,2940,8,675,523,1109326
1931,2020-02-12,WA,2.0,0.0,2,33.4,883.4,3.9,0.27,1,7,1,12,34,36,3,2878,10,554,564,1052105
1930,2020-02-13,WA,2.0,0.0,2,31.7,877.0,2.6,0.02,1,7,1,12,33,0,2,3255,8,660,586,1121186
1929,2020-02-14,WA,2.0,0.0,2,30.6,874.8,8.1,1.0,1,6,1,12,30,19,2,3198,12,645,586,1033950
1928,2020-02-15,WA,2.0,0.0,2,30.4,879.0,5.8,1.01,1,5,1,14,28,21,1,2880,6,551,399,922857
1927,2020-02-16,WA,2.0,0.0,2,43.3,18.8,5.2,0.08,1,6,0,14,33,31,1,2565,13,472,386,938638
1926,2020-02-17,WA,2.0,0.0,2,41.6,25.8,3.8,0.0,0,6,1,13,40,0,2,3140,7,609,524,985045
1925,2020-02-18,WA,2.0,0.0,2,28.5,885.5,2.3,0.0,0,6,1,0,35,18,2,3251,5,547,516,1080332
1924,2020-02-19,WA,2.0,0.0,2,24.4,886.2,4.1,0.0,0,6,0,18,38,18,2,2821,4,501,443,959982
1923,2020-02-20,WA,2.0,0.0,2,26.1,885.4,5.3,0.0,0,6,1,12,31,37,2,3067,14,615,497,1043570
1922,2020-02-21,WA,2.0,0.0,2,30.1,883.5,1.9,0.0,0,6,1,12,27,18,2,2506,91,671,543,1074836
1921,2020-02-22,WA,2.0,0.0,2,35.0,879.8,4.2,0.0,1,7,1,27,37,20,3,1823,193,589,389,946039
1920,2020-02-24,WA,2.0,0.0,2,27.2,885.9,10.2,2.13,1,9,2,12,24,18,4,1217,238,1022,450,886376
1919,2020-02-25,WA,2.0,0.0,2,28.6,892.1,2.8,0.04,0,13,3,23,34,18,5,924,154,1064,386,962555
1918,2020-02-26,WA,2.0,2.0,2,33.9,889.7,2.6,0.01,1,19,4,0,34,35,9,1138,107,1641,660,1160877
1917,2020-02-27,WA,2.0,2.0,2,36.1,890.0,3.9,0.04,1,25,5,17,38,17,12,2161,286,2531,942,1163270
1916,2020-02-28,WA,9.0,4.0,9,41.6,881.6,1.7,0.0,0,26,5,12,24,18,8,4219,558,5954,1788,2057115
1915,2020-02-29,WA,18.0,5.0,41,31.1,873.7,6.2,0.31,1,50,10,19,35,39,13,3704,543,4037,1556,3735380
1912,2020-03-01,MI,9.0,0.0,9,33.0,986.5,7.3,0.0,0,11,3,0,34,14,9,721,125,879,383,2822686
1914,2020-03-01,WA,30.0,8.0,111,27.1,883.9,4.8,0.85,1,46,12,19,51,59,9,721,125,879,383,2822686
1913,2020-03-01,RI,1.0,0.0,1,26.4,14.2,10.1,0.0,0,37,6,0,46,0,14,721,125,879,383,2822686
1911,2020-03-02,WA,34.0,11.0,263,29.9,882.9,8.1,0.29,1,69,20,23,69,34,15,3093,506,3411,1764,988049
1910,2020-03-02,RI,1.0,0.0,1,36.2,16.4,7.0,0.0,0,48,8,20,57,0,16,3093,506,3411,1764,988049
1909,2020-03-02,MI,18.0,0.0,18,42.0,977.8,7.1,0.0,0,15,3,19,31,25,6,3093,506,3411,1764,988049
1908,2020-03-03,WA,58.0,14.0,485,36.3,880.3,10.0,0.73,1,63,21,33,59,34,9,3206,689,2710,1845,3172658
1907,2020-03-03,RI,2.0,0.0,8,51.2,5.2,9.9,0.0,1,35,7,20,25,0,8,3206,689,2710,1845,3172658
1906,2020-03-03,MI,34.0,0.0,34,34.0,974.9,4.3,99.99,1,15,4,9,30,25,4,3206,689,2710,1845,3172658
1891,2020-03-04,AZ,2.0,0.0,34,60.7,966.3,5.4,0.0,0,20,4,23,57,48,3,831,160,985,484,3408778
1892,2020-03-04,CA,53.0,0.0,515,55.4,8.9,1.4,0.0,0,30,8,15,50,28,6,831,160,985,484,3408778
1893,2020-03-04,FL,2.0,0.0,42,72.7,11.1,6.0,0.0,1,25,6,34,42,59,7,831,160,985,484,3408778
1894,2020-03-04,GA,2.0,0.0,2,59.0,1.2,3.7,0.8,1,27,5,0,42,39,6,831,160,985,484,3408778
1896,2020-03-04,MI,52.0,0.0,52,37.1,980.2,8.1,0.0,0,14,4,9,38,31,6,831,160,985,484,3408778
1897,2020-03-04,NC,1.0,0.0,1,52.6,989.7,3.5,0.0,0,32,6,18,52,20,6,831,160,985,484,3408778
1895,2020-03-04,IL,4.0,0.0,155,41.3,981.5,9.4,0.0,1,19,5,20,36,41,3,831,160,985,484,3408778
1899,2020-03-04,NY,6.0,0.0,78,40.2,953.4,10.8,0.34,1,36,8,38,38,32,12,831,160,985,484,3408778
1900,2020-03-04,OR,3.0,0.0,50,42.3,999.9,8.8,99.99,1,34,10,62,39,0,3,831,160,985,484,3408778
1901,2020-03-04,RI,2.0,0.0,13,49.1,998.1,13.9,0.3,1,25,5,0,51,0,5,831,160,985,484,3408778
1902,2020-03-04,SC,0.0,0.0,5,58.9,6.7,1.5,0.17,1,25,4,35,38,22,6,831,160,985,484,3408778
1903,2020-03-04,TX,1.0,0.0,1,60.7,979.5,12.1,0.03,1,23,5,27,37,27,5,831,160,985,484,3408778
1904,2020-03-04,WA,76.0,16.0,707,32.2,879.9,7.1,0.69,1,57,19,39,54,43,4,831,160,985,484,3408778
1905,2020-03-04,WI,1.0,0.0,26,32.1,973.1,7.6,0.0,0,14,3,31,31,13,3,831,160,985,484,3408778
1898,2020-03-04,NH,2.0,0.0,19,42.8,976.9,12.5,0.08,1,28,6,29,27,0,5,831,160,985,484,3408778
1875,2020-03-05,MI,72.0,0.0,80,34.3,989.3,6.3,99.99,1,16,3,24,36,0,6,884,168,1268,494,1170131
1874,2020-03-05,MD,0.0,0.0,31,46.3,999.9,2.9,0.0,0,27,8,11,34,43,3,884,168,1268,494,1170131
1873,2020-03-05,IL,5.0,0.0,197,41.8,985.3,13.6,0.0,0,21,5,16,43,29,3,884,168,1268,494,1170131
1872,2020-03-05,GA,2.0,0.0,2,54.5,2.8,7.1,1.98,1,27,6,19,49,23,7,884,168,1268,494,1170131
1868,2020-03-05,CA,53.0,0.0,515,59.1,10.1,2.0,0.0,0,36,11,16,55,26,6,884,168,1268,494,1170131
1870,2020-03-05,DC,0.0,0.0,8,50.7,999.9,4.2,0.0,0,34,10,0,21,0,0,884,168,1268,494,1170131
1869,2020-03-05,CO,0.0,0.0,40,27.9,673.2,8.3,0.0,0,26,7,0,38,20,3,884,168,1268,494,1170131
1867,2020-03-05,AZ,2.0,0.0,36,64.8,969.9,3.8,0.0,0,22,5,12,23,58,4,884,168,1268,494,1170131
1876,2020-03-05,NC,1.0,0.0,1,50.0,994.2,2.3,99.99,1,28,7,14,53,42,7,884,168,1268,494,1170131
1871,2020-03-05,FL,9.0,0.0,109,76.6,11.3,9.8,0.0,1,25,5,16,42,31,6,884,168,1268,494,1170131
1877,2020-03-05,NE,0.0,0.0,22,48.3,953.8,19.3,0.0,0,20,5,0,18,0,4,884,168,1268,494,1170131
1878,2020-03-05,NH,2.0,0.0,22,39.0,990.8,8.2,0.0,0,25,9,0,28,0,11,884,168,1268,494,1170131
1879,2020-03-05,NJ,1.0,0.0,1,47.3,12.3,6.1,0.0,0,42,9,40,34,31,8,884,168,1268,494,1170131
1890,2020-03-05,WI,1.0,0.0,26,35.6,973.4,7.4,0.0,1,16,3,0,37,14,5,884,168,1268,494,1170131
1889,2020-03-05,WA,97.0,20.0,1040,34.7,879.0,2.6,0.07,0,56,24,34,65,43,4,884,168,1268,494,1170131
1887,2020-03-05,TX,1.0,0.0,1,56.8,991.2,8.0,0.57,1,30,6,30,50,26,6,884,168,1268,494,1170131
1886,2020-03-05,TN,1.0,0.0,1,52.1,999.9,1.6,0.0,0,40,6,35,45,17,4,884,168,1268,494,1170131
1885,2020-03-05,SC,0.0,0.0,5,52.5,10.2,2.1,0.57,1,26,7,18,30,0,5,884,168,1268,494,1170131
1888,2020-03-05,VA,0.0,0.0,21,48.3,1.3,5.1,0.0,0,26,7,27,41,17,5,884,168,1268,494,1170131
1883,2020-03-05,OR,3.0,0.0,61,38.1,999.9,5.9,0.0,0,29,10,21,54,0,3,884,168,1268,494,1170131
1882,2020-03-05,OH,0.0,0.0,10,38.4,975.4,4.5,0.0,0,17,5,16,34,21,6,884,168,1268,494,1170131
1881,2020-03-05,NY,22.0,0.0,122,35.6,965.7,7.3,0.1,1,42,10,22,33,17,12,884,168,1268,494,1170131
1880,2020-03-05,NV,1.0,0.0,15,47.3,838.9,8.7,0.0,0,42,10,0,35,63,7,884,168,1268,494,1170131
1884,2020-03-05,RI,2.0,0.0,19,45.0,12.0,7.9,0.05,0,25,8,0,26,0,2,884,168,1268,494,1170131
1840,2020-03-06,IA,0.0,0.0,17,34.5,993.4,11.5,0.0,0,20,4,26,40,0,3,746,188,1272,452,1194625
1846,2020-03-06,MI,98.0,0.0,114,35.6,989.0,8.8,99.99,1,17,6,10,38,25,4,746,188,1272,452,1194625
1845,2020-03-06,MD,3.0,0.0,41,36.4,999.9,1.2,0.0,0,58,14,0,31,17,11,746,188,1272,452,1194625
1844,2020-03-06,KY,0.0,0.0,10,42.4,982.8,10.3,99.99,1,36,7,66,43,83,2,746,188,1272,452,1194625
1843,2020-03-06,KS,0.0,0.0,4,41.7,993.2,4.3,0.0,0,18,6,25,54,0,2,746,188,1272,452,1194625
1841,2020-03-06,IL,5.0,0.0,220,37.3,993.0,18.5,0.0,1,21,5,17,43,13,5,746,188,1272,452,1194625
1839,2020-03-06,GA,2.0,0.0,2,54.1,5.8,9.6,0.76,0,26,7,20,43,12,6,746,188,1272,452,1194625
1833,2020-03-06,AZ,3.0,0.0,51,72.4,967.0,4.9,0.0,0,25,6,18,24,20,4,746,188,1272,452,1194625
1837,2020-03-06,DE,0.0,0.0,10,41.4,999.9,10.5,0.0,0,26,7,0,27,100,15,746,188,1272,452,1194625
1836,2020-03-06,DC,0.0,0.0,9,44.7,999.9,4.1,0.0,0,46,21,0,53,0,2,746,188,1272,452,1194625
1835,2020-03-06,CO,2.0,0.0,78,30.6,676.1,7.8,0.0,0,49,15,20,39,41,4,746,188,1272,452,1194625
1834,2020-03-06,CA,60.0,0.0,522,62.3,6.9,3.6,0.0,0,36,12,12,55,17,5,746,188,1272,452,1194625
1847,2020-03-06,MN,0.0,0.0,36,26.9,992.1,6.3,0.01,0,23,7,37,23,36,2,746,188,1272,452,1194625
1832,2020-03-06,AR,0.0,0.0,6,55.1,17.5,7.9,0.0,0,21,7,30,36,46,3,746,188,1272,452,1194625
1831,2020-03-06,AK,0.0,0.0,9,6.1,943.7,4.2,0.0,0,28,8,0,44,0,6,746,188,1272,452,1194625
1838,2020-03-06,FL,9.0,0.0,115,71.9,12.5,10.0,99.99,1,25,7,19,44,14,5,746,188,1272,452,1194625
1848,2020-03-06,NC,2.0,0.0,2,44.6,990.7,4.7,0.02,1,25,8,9,45,14,6,746,188,1272,452,1194625
1842,2020-03-06,IN,1.0,0.0,1,37.3,990.8,14.8,0.0,1,31,10,0,40,23,7,746,188,1272,452,1194625
1850,2020-03-06,NH,2.0,0.0,25,31.6,993.4,4.7,0.0,1,24,8,31,24,89,3,746,188,1272,452,1194625
1849,2020-03-06,NE,0.0,0.0,22,36.8,963.4,8.3,0.0,0,23,6,26,18,0,4,746,188,1272,452,1194625
1866,2020-03-06,WV,0.0,0.0,5,42.2,979.5,6.3,0.03,1,18,4,0,37,35,0,746,188,1272,452,1194625
1865,2020-03-06,WI,1.0,0.0,44,28.9,988.0,10.8,0.12,1,17,4,16,35,21,3,746,188,1272,452,1194625
1864,2020-03-06,WA,150.0,26.0,1528,33.9,874.9,2.6,0.02,1,55,26,17,48,26,4,746,188,1272,452,1194625
1862,2020-03-06,VA,0.0,0.0,31,41.3,996.1,5.9,0.0,0,31,10,13,51,29,5,746,188,1272,452,1194625
1861,2020-03-06,TX,5.0,0.0,5,57.4,0.2,7.5,0.0,0,29,8,9,41,18,5,746,188,1272,452,1194625
1860,2020-03-06,TN,1.0,0.0,1,48.7,999.9,7.3,0.0,0,29,6,26,50,17,5,746,188,1272,452,1194625
1859,2020-03-06,SC,0.0,0.0,5,52.1,8.0,6.5,0.78,1,20,6,29,24,0,7,746,188,1272,452,1194625
1863,2020-03-06,VT,0.0,0.0,8,31.5,976.5,2.1,0.0,0,27,8,0,55,0,5,746,188,1272,452,1194625
1857,2020-03-06,PA,2.0,0.0,2,34.2,996.3,2.7,0.0,1,35,10,27,40,17,3,746,188,1272,452,1194625
1856,2020-03-06,OR,3.0,0.0,95,42.3,999.9,7.4,0.0,0,31,11,43,51,19,3,746,188,1272,452,1194625
1855,2020-03-06,OH,0.0,0.0,10,37.6,971.7,9.3,99.99,1,19,7,8,26,16,2,746,188,1272,452,1194625
1854,2020-03-06,NY,33.0,0.0,361,33.2,962.6,4.8,0.0,1,37,10,15,33,27,10,746,188,1272,452,1194625
1853,2020-03-06,NV,1.0,0.0,15,46.5,835.8,7.4,0.0,0,43,11,26,37,51,10,746,188,1272,452,1194625
1852,2020-03-06,NM,0.0,0.0,16,40.2,820.9,6.1,0.0,0,21,7,0,38,0,6,746,188,1272,452,1194625
1858,2020-03-06,RI,3.0,0.0,20,39.8,13.6,7.4,0.0,0,23,5,0,81,0,3,746,188,1272,452,1194625
1851,2020-03-06,NJ,1.0,0.0,1,37.2,7.8,5.5,0.34,1,37,11,21,45,26,8,746,188,1272,452,1194625
1794,2020-03-07,ID,0.0,0.0,27,37.0,837.3,3.9,0.0,1,21,7,0,51,0,0,729,366,1323,420,1181183
1795,2020-03-07,IL,6.0,0.0,241,34.9,0.1,10.4,0.0,0,24,7,34,48,25,3,729,366,1323,420,1181183
1796,2020-03-07,IN,1.0,0.0,1,33.7,2.4,4.7,0.0,0,26,7,32,45,18,3,729,366,1323,420,1181183
1797,2020-03-07,KS,0.0,0.0,13,55.0,985.2,14.3,0.0,0,25,8,0,55,0,4,729,366,1323,420,1181183
1800,2020-03-07,MD,3.0,0.0,44,40.8,999.9,6.8,0.0,0,36,11,39,39,39,6,729,366,1323,420,1181183
1799,2020-03-07,LA,0.0,0.0,0,47.6,26.7,2.1,0.0,0,19,5,0,23,25,7,729,366,1323,420,1181183
1801,2020-03-07,ME,0.0,0.0,1,28.8,5.0,14.9,0.0,0,23,5,0,38,0,7,729,366,1323,420,1181183
1793,2020-03-07,IA,0.0,0.0,17,42.3,989.8,12.9,0.0,0,20,4,0,36,0,3,729,366,1323,420,1181183
1802,2020-03-07,MI,128.0,0.0,155,30.1,3.9,5.7,0.0,0,20,5,33,32,14,4,729,366,1323,420,1181183
1798,2020-03-07,KY,1.0,0.0,10,35.8,995.1,4.8,0.0,0,39,7,26,41,37,8,729,366,1323,420,1181183
1792,2020-03-07,HI,1.0,0.0,1,72.2,6.1,14.4,0.01,1,50,14,38,54,0,5,729,366,1323,420,1181183
1783,2020-03-07,AR,0.0,0.0,6,44.5,20.6,2.6,0.0,0,21,3,0,34,37,2,729,366,1323,420,1181183
1790,2020-03-07,FL,14.0,0.0,202,58.8,19.7,9.1,0.0,0,32,8,27,48,36,7,729,366,1323,420,1181183
1789,2020-03-07,DE,0.0,0.0,10,39.5,999.9,21.2,0.0,0,23,5,80,23,0,4,729,366,1323,420,1181183
1788,2020-03-07,DC,0.0,0.0,9,45.1,999.9,9.8,0.0,0,44,12,24,24,0,4,729,366,1323,420,1181183
1787,2020-03-07,CT,0.0,0.0,0,38.1,13.6,10.4,0.04,1,44,10,29,61,29,7,729,366,1323,420,1181183
1786,2020-03-07,CO,8.0,0.0,132,31.2,671.3,9.5,0.0,0,40,14,24,45,33,3,729,366,1323,420,1181183
1785,2020-03-07,CA,69.0,0.0,531,57.8,4.7,3.9,0.0,0,35,12,33,56,30,6,729,366,1323,420,1181183
1784,2020-03-07,AZ,5.0,0.0,56,71.5,963.8,7.0,0.0,0,25,8,14,49,0,4,729,366,1323,420,1181183
1782,2020-03-07,AL,0.0,0.0,0,47.7,999.9,5.6,0.0,0,21,5,18,37,0,3,729,366,1323,420,1181183
1781,2020-03-07,AK,0.0,0.0,14,12.2,941.8,5.7,0.0,0,29,5,0,25,0,0,729,366,1323,420,1181183
1803,2020-03-07,MN,1.0,0.0,49,34.4,982.1,10.3,0.0,0,27,7,0,24,63,3,729,366,1323,420,1181183
1791,2020-03-07,GA,6.0,0.0,6,48.9,15.0,7.4,0.0,0,28,7,35,41,14,5,729,366,1323,420,1181183
1804,2020-03-07,MO,0.0,0.0,0,43.9,9.5,6.7,0.0,0,23,4,18,61,0,2,729,366,1323,420,1181183
1828,2020-03-07,WI,1.0,0.0,44,32.4,989.6,7.9,0.0,0,18,4,18,14,48,4,729,366,1323,420,1181183
1806,2020-03-07,MT,0.0,0.0,11,42.1,999.9,999.9,0.0,0,19,5,0,38,0,5,729,366,1323,420,1181183
1829,2020-03-07,WV,0.0,0.0,5,35.4,994.1,6.7,0.14,1,24,5,61,55,83,9,729,366,1323,420,1181183
1830,2020-03-07,WY,0.0,0.0,0,44.7,834.8,15.3,0.0,0,21,7,0,20,0,0,729,366,1323,420,1181183
1827,2020-03-07,WA,182.0,27.0,1994,30.5,870.2,2.5,0.14,1,50,24,26,55,77,5,729,366,1323,420,1181183
1826,2020-03-07,VT,0.0,0.0,16,25.6,981.1,9.2,0.0,1,27,8,0,15,0,12,729,366,1323,420,1181183
1825,2020-03-07,VA,0.0,0.0,38,42.8,3.9,9.1,99.99,1,31,9,47,39,0,6,729,366,1323,420,1181183
1824,2020-03-07,UT,1.0,0.0,1,53.7,859.5,10.7,0.0,0,26,8,0,35,24,5,729,366,1323,420,1181183
1823,2020-03-07,TX,8.0,0.0,8,51.2,998.2,5.4,0.0,1,28,7,21,41,17,6,729,366,1323,420,1181183
1822,2020-03-07,TN,1.0,0.0,1,38.8,999.9,4.4,0.0,0,25,5,40,27,0,4,729,366,1323,420,1181183
1821,2020-03-07,SD,0.0,0.0,5,48.7,952.5,9.2,0.0,0,22,4,56,32,0,6,729,366,1323,420,1181183
1820,2020-03-07,SC,2.0,0.0,10,47.4,19.8,5.6,0.0,0,30,8,22,33,55,1,729,366,1323,420,1181183
1819,2020-03-07,RI,2.0,0.0,32,36.3,12.6,17.9,0.11,1,27,9,25,16,0,7,729,366,1323,420,1181183
1805,2020-03-07,MS,0.0,0.0,0,49.9,19.3,6.3,0.0,0,19,4,0,39,0,0,729,366,1323,420,1181183
1817,2020-03-07,OR,7.0,0.0,124,40.3,999.9,5.1,99.99,1,32,11,36,33,41,3,729,366,1323,420,1181183
1816,2020-03-07,OK,1.0,0.0,1,50.9,992.7,8.0,0.0,0,34,8,34,31,0,4,729,366,1323,420,1181183
1815,2020-03-07,OH,0.0,0.0,14,32.7,987.3,7.7,99.99,1,22,6,28,29,25,4,729,366,1323,420,1181183
1814,2020-03-07,NY,76.0,0.0,404,32.7,968.9,11.0,0.01,1,42,12,28,35,15,9,729,366,1323,420,1181183
1813,2020-03-07,NV,1.0,0.0,15,47.5,827.9,11.7,0.0,0,35,13,0,44,0,6,729,366,1323,420,1181183
1812,2020-03-07,NM,0.0,0.0,48,42.7,815.1,6.3,0.0,0,21,9,0,17,0,8,729,366,1323,420,1181183
1811,2020-03-07,NJ,4.0,0.0,5,39.8,14.1,11.4,0.12,1,37,9,18,40,18,9,729,366,1323,420,1181183
1810,2020-03-07,NH,2.0,0.0,25,32.6,993.7,8.8,0.0,0,27,12,34,62,49,10,729,366,1323,420,1181183
1809,2020-03-07,NE,1.0,0.0,23,51.6,952.0,16.5,0.0,0,39,15,0,34,0,6,729,366,1323,420,1181183
1808,2020-03-07,ND,0.0,0.0,0,35.3,954.1,8.8,0.0,0,18,6,0,20,0,0,729,366,1323,420,1181183
1807,2020-03-07,NC,2.0,0.0,2,42.6,1.3,7.2,0.0,0,27,8,11,45,43,4,729,366,1323,420,1181183
1818,2020-03-07,PA,4.0,0.0,4,37.6,6.6,11.9,0.18,1,31,9,8,39,13,5,729,366,1323,420,1181183
1745,2020-03-08,IL,6.0,0.0,241,46.6,992.7,16.0,0.0,0,23,7,39,51,39,6,821,300,1273,442,1156984
1746,2020-03-08,IN,2.0,0.0,2,46.0,998.0,5.3,0.0,0,23,5,44,39,28,3,821,300,1273,442,1156984
1747,2020-03-08,KS,1.0,0.0,12,58.1,977.3,18.2,0.0,0,34,10,0,40,38,6,821,300,1273,442,1156984
1748,2020-03-08,KY,1.0,0.0,14,41.7,994.4,3.9,0.0,0,30,5,53,29,0,6,821,300,1273,442,1156984
1753,2020-03-08,MN,1.0,0.0,49,43.8,971.5,10.1,0.0,0,20,6,0,35,44,3,821,300,1273,442,1156984
1750,2020-03-08,MD,3.0,0.0,55,40.1,999.9,2.8,0.0,0,38,11,39,49,29,5,821,300,1273,442,1156984
1751,2020-03-08,ME,0.0,0.0,1,34.2,9.8,5.5,0.0,0,23,8,0,0,0,3,821,300,1273,442,1156984
1752,2020-03-08,MI,168.0,0.0,204,44.0,996.7,8.8,0.0,0,18,5,11,30,14,7,821,300,1273,442,1156984
1744,2020-03-08,ID,0.0,0.0,27,36.2,838.9,3.9,0.0,0,21,6,0,20,35,3,821,300,1273,442,1156984
1749,2020-03-08,LA,0.0,0.0,5,54.0,24.3,3.6,0.0,0,19,5,19,32,0,3,821,300,1273,442,1156984
1743,2020-03-08,IA,0.0,0.0,17,53.6,980.1,16.1,0.0,0,22,6,0,24,0,3,821,300,1273,442,1156984
1737,2020-03-08,CT,1.0,0.0,38,37.4,24.2,3.4,0.0,0,34,11,0,48,87,9,821,300,1273,442,1156984
1741,2020-03-08,GA,7.0,0.0,7,46.8,20.3,3.4,0.0,1,26,7,34,36,27,5,821,300,1273,442,1156984
1740,2020-03-08,FL,17.0,0.0,243,59.6,25.1,10.1,0.0,0,29,8,21,43,31,5,821,300,1273,442,1156984
1739,2020-03-08,DE,0.0,0.0,10,44.2,999.9,9.6,0.0,0,22,6,0,47,38,7,821,300,1273,442,1156984
1738,2020-03-08,DC,1.0,0.0,11,47.0,999.9,5.7,0.0,0,53,18,24,24,0,4,821,300,1273,442,1156984
1736,2020-03-08,CO,8.0,0.0,112,31.9,666.5,11.4,0.0,0,33,11,0,38,31,2,821,300,1273,442,1156984
1735,2020-03-08,CA,88.0,0.0,550,51.8,6.3,3.9,0.0,1,32,10,40,50,38,5,821,300,1273,442,1156984
1734,2020-03-08,AZ,5.0,0.0,56,68.0,962.8,6.9,0.0,0,23,5,0,56,67,3,821,300,1273,442,1156984
1733,2020-03-08,AR,0.0,0.0,6,48.2,16.6,3.4,0.0,0,24,4,0,44,0,7,821,300,1273,442,1156984
1732,2020-03-08,AL,0.0,0.0,0,49.6,999.9,3.8,0.0,0,20,4,0,30,84,5,821,300,1273,442,1156984
1754,2020-03-08,MO,1.0,0.0,1,56.9,2.3,9.3,0.0,0,41,12,0,66,49,3,821,300,1273,442,1156984
1742,2020-03-08,HI,1.0,0.0,1,72.0,5.7,14.2,0.01,0,30,12,0,20,0,3,821,300,1273,442,1156984
1731,2020-03-08,AK,0.0,0.0,20,12.2,932.4,0.7,0.0,0,28,10,68,24,0,14,821,300,1273,442,1156984
1755,2020-03-08,MS,0.0,0.0,0,55.0,17.7,5.4,0.0,0,22,2,0,20,34,6,821,300,1273,442,1156984
1757,2020-03-08,NC,2.0,0.0,2,41.0,10.1,1.9,0.0,0,25,7,34,37,52,5,821,300,1273,442,1156984
1756,2020-03-08,MT,0.0,0.0,11,27.1,999.9,999.9,0.02,0,18,6,56,36,57,9,821,300,1273,442,1156984
1780,2020-03-08,WY,0.0,0.0,0,42.3,830.2,12.5,0.0,1,23,7,57,49,0,12,821,300,1273,442,1156984
1779,2020-03-08,WV,0.0,0.0,5,40.4,996.2,1.7,0.0,0,24,9,62,25,0,5,821,300,1273,442,1156984
1778,2020-03-08,WI,1.0,0.0,44,46.4,979.3,9.0,0.0,0,17,4,18,46,24,5,821,300,1273,442,1156984
1777,2020-03-08,WA,249.0,31.0,2517,27.4,874.8,2.6,0.23,1,46,20,26,48,58,4,821,300,1273,442,1156984
1776,2020-03-08,VT,1.0,0.0,29,28.2,984.7,3.5,0.0,0,44,14,0,15,0,0,821,300,1273,442,1156984
1775,2020-03-08,VA,2.0,0.0,44,38.9,16.1,3.6,0.0,0,42,11,55,41,14,5,821,300,1273,442,1156984
1773,2020-03-08,TX,8.0,0.0,8,56.7,993.6,10.6,0.0,0,25,6,21,38,38,4,821,300,1273,442,1156984
1772,2020-03-08,TN,3.0,0.0,3,42.6,999.9,4.3,0.0,0,28,8,0,38,20,4,821,300,1273,442,1156984
1771,2020-03-08,SD,0.0,0.0,5,52.2,945.5,10.5,0.0,0,26,3,0,31,0,6,821,300,1273,442,1156984
1770,2020-03-08,SC,2.0,0.0,10,46.0,27.2,1.6,0.0,0,28,10,22,41,27,5,821,300,1273,442,1156984
1774,2020-03-08,UT,1.0,0.0,1,48.8,857.8,8.3,0.21,1,24,7,29,57,24,5,821,300,1273,442,1156984
